510806301111416, SECNITEC, SECNITEC, NOT FOUND, 1000MG CX C/ 2 CPR, GP8
510808201157119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML , GP8
510808202153117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, GP8
510806301111416, SECNITEC, SECNITEC, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 2, GP8
510806302118414, SECNITEC, SECNITEC, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 4, GP8
510806305176415, SECNITEC, SECNITEC, NOT FOUND, 30 MG/ML PO PREP EXTEMP CT FR PLAS OPC X 15 ML + CP MED, GP8
510806303130418, SECNITEC, SECNITEC, NOT FOUND, 30MG PSO CX C/ 1 FR X 30ML, GP8
510806304110410, SECNITEC, SECNITEC, NOT FOUND, 500 MG COM CT BL AL X 4, GP8
510808203151118, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML, GP8
510808201157119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML , GP8
510808202153117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, GP8
510806301111416, SECNITEC, SECNITEC, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 2, GP8
510806302118414, SECNITEC, SECNITEC, NOT FOUND, 1000 MG COM CT BL AL PLAS INC X 4, GP8
510806305176415, SECNITEC, SECNITEC, NOT FOUND, 30 MG/ML PO PREP EXTEMP CT FR PLAS OPC X 15 ML + CP MED, GP8
510806303130418, SECNITEC, SECNITEC, NOT FOUND, 30MG PSO CX C/ 1 FR X 30ML, GP8
510806304110410, SECNITEC, SECNITEC, NOT FOUND, 500 MG COM CT BL AL X 4, GP8
510808203151118, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CT 6 AMP VD INC X 1 ML, GP8
510808201157119, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 100 AMP VD INC X 1 ML , GP8
510808202153117, SULFATO DE TERBUTALINA, SULFATO TERBUTALINA, SULFATO TERBUTALINA, 0.5 MG/ML SOL INJ CX 50 AMP VD INC X 1 ML, GP8
