514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
514500601153312, EPREX, EPREX, NOT FOUND, 1.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500602151313, EPREX, EPREX, NOT FOUND, 10.000 U.I. - INJ - SERINGA - 6 SER. 1 ML, J_C
514500608158417, EPREX, EPREX, NOT FOUND, 1000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500612155419, EPREX, EPREX, NOT FOUND, 10000 UI SOL INJ CT 6 SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO, J_C
514500604152317, EPREX, EPREX, NOT FOUND, 2.000 U.I. - INJ - SERINGA - 6 SER. 0.5ML, J_C
514500609154415, EPREX, EPREX, NOT FOUND, 2000 UI SOL INJ CT 6 SER PREENCHIDA X 0.5 ML + 1 DISPOSITIVO, J_C
514500605159315, EPREX, EPREX, NOT FOUND, 3.000 U.I. - INJ - SERINGA - 6 SER. 0.3ML, J_C
514500610152412, EPREX, EPREX, NOT FOUND, 3000 UI SOL INJ CT 6 SER PREENCHIDA X 0.3 ML + 1 DISPOSITIVO, J_C
514500606155313, EPREX, EPREX, NOT FOUND, 4.000 U.I. - INJ - SERINGA - 6 SER. 0.4ML, J_C
514500607151311, EPREX, EPREX, NOT FOUND, 40.000 U.I. - INJ - SERINGA - 1 SER. 0.336ML, J_C
514500611159410, EPREX, EPREX, NOT FOUND, 4000 UI SOL INJ CT 6 SER PREENCHIDA X 0.4 ML + 1 DISPOSITIVO, J_C
514500613151417, EPREX, EPREX, NOT FOUND, 40000 UI SOL INJ CT SER PREENCHIDA X 1.0 ML + 1 DISPOSITIVO , J_C
514500701174311, EVRA, EVRA, NOT FOUND, 0.60/6 MG - ADES - CT - 3 ADES, J_C
