48499; TEOLONG ; TEOLONG; NOT FOUND; CAPS 100 MG x 30; ABT
51220; TOBRADEX ; TOBRADEX; NOT FOUND; POM. OFTAL 3.50 G x 1; ALC

61761; TOBRAMI+DEXAMET.MG ; TOBRAMI DEXAMET; NOT FOUND; SOLN OFTAL 5 ML x 1; ALC

61020; TOBRAMI+DEXAMET.MG ; TOBRAMI DEXAMET; NOT FOUND; SUSP OFTAL 5 ML x 1; ALL

55683; TOBRAGAN ; TOBRAGAN; NOT FOUND; SOLN OFTAL 0.30 % 5 ML x 1; ALL

59318; TOMAT ; TOMAT; NOT FOUND; CAPS 5 MG x 30; APS

30889; TETMOSOL ; TETMOSOL; NOT FOUND; SABAO 5 % 80 G x 1; AZN

49504; TENORETIC ; TENORETIC; NOT FOUND; CPR REVEST 50 MG x 28 (/12); AZN

56341; TOMUDEX ; TOMUDEX; NOT FOUND; F.AMP INFUS 2 MG x 1; AZN

47297; TENORETIC ; TENORETIC; NOT FOUND; CPR REVEST 100 MG x 28 (/25); AZN

28784; TETMOSOL ; TETMOSOL; NOT FOUND; SOLN 25 % 100 ML x 1; AZN

84584; TRAYENTA ; TRAYENTA; NOT FOUND; CPR REVEST 5 MG x 30; B_I

134310; TRAYENTA DUO ; TRAYENTA DUO; NOT FOUND; CPR RE 2.5MG 850 MG x 60; B_I

134304; TRAYENTA DUO ; TRAYENTA DUO; NOT FOUND; CPR RE 2.5MG 500 MG x 60; B_I

134308; TRAYENTA DUO ; TRAYENTA DUO; NOT FOUND; CPR RE 2.5MG 850 MG x 20; B_I

84582; TRAYENTA ; TRAYENTA; NOT FOUND; CPR REVEST 5 MG x 10; B_I

134312; TRAYENTA DUO ; TRAYENTA DUO; NOT FOUND; CPR RE 2.5MG 1000 MG x 60; B_I

109719; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 1 MG x 30; BAG

85654; TIORFAN ; TIORFAN; NOT FOUND; SACHETS 30 MG 3 G x 2; BAG

55347; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 1 MG x 20; BAG

85653; TIORFAN ; TIORFAN; NOT FOUND; SACHETS 10 MG 1 G x 2; BAG

55495; TIORFAN ; TIORFAN; NOT FOUND; CAPS 100 MG x 9; BAG

65270; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; SUSP ORAL BD 200 MG 30 ML x 1 (/50); BAG

70327; TIORFAN ; TIORFAN; NOT FOUND; SACHETS 30 MG 3 G x 18; BAG

58078; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; CPR REVEST 500 MG x 8; BAG

58081; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; F.AMP C/DILU 750 MG 5 ML x 1; BAG

55345; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 0.25 MG x 20; BAG

58084; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; SUSP 500 MG 60 ML x 1 (/5ML); BAG

65271; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; SUSP ORAL BD 200 MG 60 ML x 1 (/50); BAG

109721; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 2 MG x 30; BAG

58080; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; CPR REVEST 1000 MG x 8; BAG

109718; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 0.25 MG x 30; BAG

77448; TIORFAN ; TIORFAN; NOT FOUND; SACHETS 10 MG 1 G x 18; BAG

54071; TARGUS ; TARGUS; NOT FOUND; PARCHE 40 MG x 10; BAG

58083; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); BAG

55346; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 0.50 MG x 20; BAG

100193; TRANQUINAL SLG ; TRANQUINAL SLG; NOT FOUND; CPR SL 0.50 MG x 15; BAG

89940; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 0.50 MG x 30; BAG

100192; TRANQUINAL SLG ; TRANQUINAL SLG; NOT FOUND; CPR SL 0.50 MG x 30; BAG

58082; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; F.AMP C/DILU 1500 MG 5 ML x 1; BAG

58079; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; CPR REVEST 500 MG x 16; BAG

55348; TRANQUINAL ; TRANQUINAL; NOT FOUND; CPR 2 MG x 20; BAG

65272; TRIFAMOX IBL ; TRIFAMOX IBL; NOT FOUND; CPR BD 875 MG x 14 (/125); BAG

59992; TICLOBAL ; TICLOBAL; NOT FOUND; CPR REVEST 250 MG x 30; BAL

30461; TAURARGIN ; TAURARGIN; NOT FOUND; CPR x 20; BAL

61563; TRAVAD ENEMA ; TRAVAD ENEMA; NOT FOUND; LIQD 133 ML x 1; BAX

64341; TANDROTAMOL ; TANDROTAMOL; NOT FOUND; CPR x 100; BLF

64342; TEBILOBA ; TEBILOBA; NOT FOUND; CPR REVEST 40 MG x 30; BLF

64340; TANDROTAMOL ; TANDROTAMOL; NOT FOUND; CPR x 30; BLF

64344; TEBILOBA ; TEBILOBA; NOT FOUND; CPR REVEST 120 MG x 30; BLF

64345; TROMIZIR ; TROMIZIR; NOT FOUND; CPR REVEST 500 MG x 3; BLF

64343; TEBILOBA ; TEBILOBA; NOT FOUND; CPR REVEST 80 MG x 20; BLF

49815; TAXOL ; TAXOL; NOT FOUND; INFUSAO I.V 30 MG 5 ML x 1; BMS

10293; TETREX ; TETREX; NOT FOUND; CAPS 500 MG x 8; BMS

10104; TERAGRAN JUNIOR ; TERAGRAN JUNIOR; NOT FOUND; LIQD 120 ML x 1; BMS

28960; TRI-VI-FLUOR ; TRI VI FLUOR; NOT FOUND; GOTAS 30 ML x 1; BMS

42293; TERAGRAN M PRE-NAT ; TERAGRAN M PRE NAT; NOT FOUND; DRAG x 30; BMS

56233; TAXOL ; TAXOL; NOT FOUND; F.AMP 300 MG 50 ML x 1; BMS

51330; TERAGRAN M ; TERAGRAN M; NOT FOUND; CPR REVEST x 30; BMS

10662; TRI-VI-SOL ; TRI VI SOL; NOT FOUND; GOTAS 30 ML x 1; BMS

52054; TALSUTIN ; TALSUTIN; NOT FOUND; CR.VAG.10APL 45 G x 1; BMS

54353; TAXOL ; TAXOL; NOT FOUND; F.AMP 100 MG 16.7 ML x 1; BMS

10291; TETREX ; TETREX; NOT FOUND; CAPS ENVELOP 500 MG x 100; BMS

72602; TYFLEN ; TYFLEN; NOT FOUND; SUSP CRIANCA 160 MG 60 ML x 1 (/5ML); BRT

76863; TYFLEN ; TYFLEN; NOT FOUND; CPR 500 MG x 20; BRT

58794; TYFLEN ; TYFLEN; NOT FOUND; CPR 750 MG x 200; BRT

58795; TYFLEN ; TYFLEN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); BRT

76862; TYFLEN ; TYFLEN; NOT FOUND; CPR 500 MG x 200; BRT

64609; TETRACAPS ; TETRACAPS; NOT FOUND; CAPS 500 MG x 100; BRT

73792; TYFLEN ; TYFLEN; NOT FOUND; CPR 750 MG x 20; BRT

63839; TRISEPTIL ; TRISEPTIL; NOT FOUND; PO ANTISSEP 10 G x 1; BRT

73123; TYFLEN ; TYFLEN; NOT FOUND; GOTAS BEBE 100 MG 15 ML x 1 (/ML); BRT

52951; TAPAZOL ; TAPAZOL; NOT FOUND; CPR 10 MG x 50; BS2

50468; TRANDOR ; TRANDOR; NOT FOUND; CAPS 200 MG x 10; BS2

135560; TROFIS ; TROFIS; NOT FOUND; GEL HID 30 G x 1; BS2

10050; TAPAZOL ; TAPAZOL; NOT FOUND; CPR 5 MG x 100; BS2

61490; TEOMUC ; TEOMUC; NOT FOUND; XAR. PED. 25 MG 120 ML x 1 (/5ML); BS2

76810; TANTIN ; TANTIN; NOT FOUND; CPR REVEST x 84; BS2

73400; TANTIN ; TANTIN; NOT FOUND; CPR REVEST x 28; BS2

68297; TEICOSTON ; TEICOSTON; NOT FOUND; F.AMP LIOF 400 MG 3 ML x 1; BU_

61278; TEFLUT ; TEFLUT; NOT FOUND; CPR 250 MG x 20; BU_

76236; TRIAXTON ; TRIAXTON; NOT FOUND; F.IV S/DIL 1 G x 100; BU_

54972; TRIAXTON ; TRIAXTON; NOT FOUND; F.IV SOLV 1 G x 20; BU_

68295; TEICOSTON ; TEICOSTON; NOT FOUND; F.AMP LIOF 200 MG 3 ML x 1; BU_

61275; TAXOFEN ; TAXOFEN; NOT FOUND; CPR 10 MG x 30; BU_

61277; TAXOFEN ; TAXOFEN; NOT FOUND; CPR 20 MG x 30; BU_

74143; TAXOFEN ; TAXOFEN; NOT FOUND; CPR 20 MG x 250; BU_

60215; TIONAZEN ; TIONAZEN; NOT FOUND; CREME 10 MG 30 G x 1 (/G); CAZ

55997; TERMOPRIN ; TERMOPRIN; NOT FOUND; CPR 500 MG x 200; CAZ

55341; THIANAX ; THIANAX; NOT FOUND; CPR 500 MG x 6; CAZ

55342; THIANAX ; THIANAX; NOT FOUND; POM. 5 % 45 G x 1; CAZ

72737; TIONAZEN ; TIONAZEN; NOT FOUND; LOC. 10 MG 30 G x 1 (/G); CAZ

43835; TETRABEN ; TETRABEN; NOT FOUND; POM. 2 % 20 G x 1; CAZ

60216; TIONAZEN ; TIONAZEN; NOT FOUND; SOLN P/UNHA 280 MG 12 ML x 1 (/ML); CAZ

61324; TRIPSOL ; TRIPSOL; NOT FOUND; CPR 25 MG x 20; CAZ

60147; TEGREZIN ; TEGREZIN; NOT FOUND; CPR 200 MG x 20; CAZ

48050; TERMOPRIN ; TERMOPRIN; NOT FOUND; XAROPE 250 MG 100 ML x 1 (/5ML); CAZ

43794; TERMOPRIN ; TERMOPRIN; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); CAZ

67013; TRICOMAX ; TRICOMAX; NOT FOUND; CREME VAG. 50 G x 1; CAZ

47847; TRATFER ; TRATFER; NOT FOUND; DRAG 250 MG x 50; CAZ

64529; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 1 ML x 100 (/ML); CT6

70453; TRACUR ; TRACUR; NOT FOUND; A.IV 10 MG 2.50 ML x 25 (/ML); CT6

84997; TOLEDERM ; TOLEDERM; NOT FOUND; CREME. 50 ML x 1; CT6

53914; TRIDIL ; TRIDIL; NOT FOUND; F.AMP 25 MG 5 ML x 1; CT6

59995; TRAMADON ; TRAMADON; NOT FOUND; CAPS 50 MG x 100; CT6

53915; TRIDIL ; TRIDIL; NOT FOUND; F.AMP 50 MG 10 ML x 1; CT6

61474; TRAMADON ; TRAMADON; NOT FOUND; CPR REVEST 100 MG x 10; CT6

70454; TRACUR ; TRACUR; NOT FOUND; A.IV 10 MG 5 ML x 25 (/ML); CT6

84998; TOLEDERM ; TOLEDERM; NOT FOUND; GEL LIMPEZA 250 ML x 1; CT6

53909; TRACUR ; TRACUR; NOT FOUND; A.IV 25 MG 2.50 ML x 5; CT6

58454; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 2 ML x 6 (/ML); CT6

77784; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP 40 MG 2 ML x 50; CT6

54456; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 200 MG x 200; CT6

58976; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOLN OFTAL 0.30 % 5 ML x 1; CT6

58456; TRAMADON ; TRAMADON; NOT FOUND; GOTAS 100 MG 10 ML x 1 (/ML); CT6

63534; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 2 ML x 100 (/ML); CT6

77783; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP 20 MG 2 ML x 50; CT6

52575; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 400 MG x 20; CT6

54457; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 400 MG x 200; CT6

48245; TENSURIL ; TENSURIL; NOT FOUND; AMP. 300 MG 20 ML x 1; CT6

53908; THIOPENTAX ; THIOPENTAX; NOT FOUND; F.AMP 1 G x 25; CT6

53907; THIOPENTAX ; THIOPENTAX; NOT FOUND; F.AMP 0.50 G x 25; CT6

58453; TRAMADON ; TRAMADON; NOT FOUND; AMP. 50 MG 1 ML x 6 (/ML); CT6

59533; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 40 G x 1; CT6

58455; TRAMADON ; TRAMADON; NOT FOUND; CAPS 50 MG x 10; CT6

52574; TEGRETARD ; TEGRETARD; NOT FOUND; CPR 200 MG x 20; CT6

53910; TRACUR ; TRACUR; NOT FOUND; A.IV 50 MG 5 ML x 5; CT6

44079; TETRAXIL ; TETRAXIL; NOT FOUND; CAPS 500 MG x 100; DLT

59378; TIAPLEX ; TIAPLEX; NOT FOUND; POM. 50 MG 20 G x 1 (/G); DLT

128846; TENSALDIN ; TENSALDIN; NOT FOUND; CPR REVEST x 200; DLT

60210; TANDERALGIN ; TANDERALGIN; NOT FOUND; CPR x 30; DLT

69402; TENSALDIN ; TENSALDIN; NOT FOUND; CPR REVEST x 500; DLT

133794; TUTANGIR ; TUTANGIR; NOT FOUND; LIQ LARANJA 250 ML x 1; DLT

57396; TANDERALGIN ; TANDERALGIN; NOT FOUND; CPR x 12; DLT

60211; TIOCONAX ; TIOCONAX; NOT FOUND; CREME 1 % 30 G x 1; DLT

59379; TIAPLEX ; TIAPLEX; NOT FOUND; SABAO 3.25 G 65 G x 1; DLT

78010; TRATOCAPIL ; TRATOCAPIL; NOT FOUND; K SH100ML+LO 100 ML x 1; DLT

49503; TUSSILIV ; TUSSILIV; NOT FOUND; XAROPE 2 MG 100 ML x 1 (/5ML); DLT

77886; TRATOCAPIL ; TRATOCAPIL; NOT FOUND; LOC. 100 ML x 1; DLT

58071; TENSALDIN ; TENSALDIN; NOT FOUND; CPR REVEST x 20; DLT

60214; TIOCONAX ; TIOCONAX; NOT FOUND; SPRAY 1 % 30 ML x 1; DLT

60212; TIOCONAX ; TIOCONAX; NOT FOUND; LOC. 1 % 30 G x 1; DLT

77887; TRATOCAPIL ; TRATOCAPIL; NOT FOUND; SHAMPOO 100 ML x 1; DLT

110368; TRATOPE ; TRATOPE; NOT FOUND; LOCAO P/ PES 30 G x 1; DLT

157066; TUTANGIR ; TUTANGIR; NOT FOUND; CAPS 500 MG x 30; DLT

165377; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR 5 MG x 30; EUF

73088; TAMISA ; TAMISA; NOT FOUND; DRAG 20 Y x 63 (/75); EUF

77739; TROK-G ; TROK G; NOT FOUND; CREME 10 G x 1; EUF

59316; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP SOLV 40 MG 2 ML x 50; EUF

60124; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 7; EUF

83413; TEINA ; TEINA; NOT FOUND; CAPS 10 MG x 30; EUF

60058; TAMISA ; TAMISA; NOT FOUND; DRAG 30 Y x 21; EUF

71520; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; EUF

69209; TROK-N ; TROK N; NOT FOUND; CREME 30 G x 1; EUF

74134; TROK-G ; TROK G; NOT FOUND; POM. 30 G x 1; EUF

73089; TAMISA ; TAMISA; NOT FOUND; DRAG 30 Y x 63 (/75); EUF

78949; TORANTE ; TORANTE; NOT FOUND; XAR. 15 MG 200 ML x 1 (/ML); EUF

165376; TADALAFILA MG ; TADALAFILA; TADALAFILA; CPR 20 MG x 2; EUF

61720; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 3; EUF

115543; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 20; EUF

74133; TROK-G ; TROK G; NOT FOUND; CREME 30 G x 1; EUF

62929; TROK-N ; TROK N; NOT FOUND; POM. 10 G x 1; EUF

89086; TAMISA ; TAMISA; NOT FOUND; DRAG S PARAR 30 Y x 28; EUF

62926; TROK ; TROK; NOT FOUND; CREME 10 G x 1; EUF

71297; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; EUF

70413; TEICOPLANINA MG ; TEICOPLANINA; TEICOPLANINA; F.AMP C/DILU 400 MG 3 ML x 5; EUF

69207; TROK ; TROK; NOT FOUND; CREME 30 G x 1; EUF

63071; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 250 MG x 7; EUF

56073; TAMOXIN ; TAMOXIN; NOT FOUND; CPR 20 MG x 30; EUF

69210; TROK-N ; TROK N; NOT FOUND; POM. 30 G x 1; EUF

60057; TAMISA ; TAMISA; NOT FOUND; DRAG 20 Y x 21; EUF

89087; TAMISA ; TAMISA; NOT FOUND; DRAG S PARAR 30 Y x 84; EUF

70412; TEICOPLANINA MG ; TEICOPLANINA; TEICOPLANINA; F.AMP C/DILU 200 MG 3 ML x 5; EUF

62928; TROK-N ; TROK N; NOT FOUND; CREME 10 G x 1; EUF

59315; TENOXICAM MG ; TENOXICAM; TENOXICAM; F.AMP SOLV 20 MG 2 ML x 50; EUF

69208; TROK ; TROK; NOT FOUND; POM. 30 G x 1; EUF

115546; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 60; EUF

71521; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; EUF

60125; TAMIRAM ; TAMIRAM; NOT FOUND; CPR REVEST 500 MG x 10; EUF

62927; TROK ; TROK; NOT FOUND; POM. 10 G x 1; EUF

78948; TORANTE ; TORANTE; NOT FOUND; XAR. 15 MG 100 ML x 1 (/ML); EUF

115545; TRIMEB ; TRIMEB; NOT FOUND; CAPS 200 MG x 30; EUF

64978; TORADOL ; TORADOL; NOT FOUND; AMP. 30 MG x 10 (/ML); FQM

72901; THYROGEN ; THYROGEN; NOT FOUND; F.AMP 1.10 MG x 2; GEZ

54716; TETRALYSAL ; TETRALYSAL; NOT FOUND; CAPS 150 MG x 16; GLD

63912; TRI-LUMA ; TRI LUMA; NOT FOUND; CREME 15 G x 1; GLD

73458; TRI-LUMA ; TRI LUMA; NOT FOUND; CREME 30 G x 1; GLD

58649; TETRALYSAL ; TETRALYSAL; NOT FOUND; CAPS 300 MG x 16; GLD

71807; TETRALYSAL ; TETRALYSAL; NOT FOUND; CAPS 300 MG x 28; GLD

72635; TONICO VITAL ; TONICO VITAL; NOT FOUND; LIQD 250 ML x 1; GLO

70328; TRIFORMIN ; TRIFORMIN; NOT FOUND; CPR 850 MG x 30; GLO

77413; TONICO VITAL ; TONICO VITAL; NOT FOUND; LIQD 400 ML x 1; GLO

77415; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; GLO

72636; TONICO VITAL ; TONICO VITAL; NOT FOUND; LIQD 500 ML x 1; GLO

70329; TRIFORMIN ; TRIFORMIN; NOT FOUND; CPR 500 MG x 30; GLO

56057; TETRASPIS ; TETRASPIS; NOT FOUND; CAPS 500 MG x 100; GLO

64011; TENOXICAM MG ; TENOXICAM; TENOXICAM; CPR REVEST 20 MG x 10; GM2

87511; TIGMA ; TIGMA; NOT FOUND; CAPS 3 MG x 30; GM2

77704; TAR METOPROLOL MG ; TAR METOPROLOL; NOT FOUND; CPR REVEST 100 MG x 30; GM2

69562; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 100 MG x 60; GM2

74196; TINIDAZOL MG ; TINIDAZOL; TINIDAZOL; CPR REVEST 500 MG x 8; GM2

76811; TERCONAZOL MG ; TERCONAZOL; TERCONAZOL; CR.VAG.5 APL 8 MG 30 G x 1 (/G); GM2

69561; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; GM2

101641; TELMISARTANA MG ; TELMISARTANA; TELMISARTANA; CPR 80 MG x 30; GM2

76516; TOBRAMICINA MG ; TOBRAMICINA; TOBRAMICINA; SOLN OFTAL 3 MG 5 ML x 1 (/ML); GM2

103024; TIBOLONA MG ; TIBOLONA; TIBOLONA; CPR 2.50 MG x 30; GM2

103080; TILOGER ; TILOGER; NOT FOUND; CPR 2.50 MG x 30; GM2

101639; TELMISARTANA MG ; TELMISARTANA; TELMISARTANA; CPR 40 MG x 30; GM2

80456; TAMAFILL ; TAMAFILL; NOT FOUND; AERO A/CELUL 250 ML x 1; GM2

87513; TIGMA ; TIGMA; NOT FOUND; CAPS 4.50 MG x 30; GM2

87512; TIGMA ; TIGMA; NOT FOUND; CAPS 1.50 MG x 30; GM2

69496; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; GM2

66797; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 45 G x 1; GM2

69767; TIABENDAZOL POM MG ; TIABENDAZOL POM; NOT FOUND; POM. 50 MG 45 G x 1 (/G); GM2

69560; TOPIRAMATO MG ; TOPIRAMATO; TOPIRAMATO; CPR REVEST 50 MG x 60; GM2

96911; TEKZOR ; TEKZOR; NOT FOUND; CPR REVEST 50 MG x 60; GM2

74197; TINIDAZOL MG ; TINIDAZOL; TINIDAZOL; CPR REVEST 500 MG x 4; GM2

68300; TIABENDAZOL MG ; TIABENDAZOL; TIABENDAZOL; CPR 500 MG x 6; GM2

68548; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 420; GOB

74980; TINID+NIT.MICON.MG ; TINID NIT MICON; NOT FOUND; CR.VAG.7 APL 45 G x 1; GOB

73791; TRINODAZOL ; TRINODAZOL; NOT FOUND; GEL. VAG. 100 MG 50 G x 60 (/G); GOB

120322; TELOL C ; TELOL C; NOT FOUND; CPR 100 MG x 30 (/25); GOB

71952; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 500 MG x 200; GOB

85424; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 30; GOB

68073; TYLALGIN ; TYLALGIN; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); GOB

74244; TIOCO+TINIDAZOL MG ; TIOCO TINIDAZOL; NOT FOUND; CR.VAG.7 APL 35 G x 1; GOB

77818; TYLALGIN ; TYLALGIN; NOT FOUND; SACHETS 500 MG 5 G x 50; GOB

64977; TITENIL ; TITENIL; NOT FOUND; CPR 20 MG x 10; GOB

72903; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 500; GOB

64959; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 28; GOB

77113; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1; GOB

71104; TYLALGIN CAF ; TYLALGIN CAF; NOT FOUND; CPR 500 MG x 100 (/65); GOB

68074; TYLALGIN ; TYLALGIN; NOT FOUND; SUSP ORAL 160 MG 60 ML x 1 (/5ML); GOB

69401; TALURON ; TALURON; NOT FOUND; CPR 50 MG x 42; GOB

70326; TELOL ; TELOL; NOT FOUND; CPR 100 MG x 420; GOB

64958; TELOL ; TELOL; NOT FOUND; CPR 25 MG x 28; GOB

69397; TALURON ; TALURON; NOT FOUND; CPR 12.5 MG x 42; GOB

64960; TELOL ; TELOL; NOT FOUND; CPR 100 MG x 28; GOB

109654; TASULIL ; TASULIL; NOT FOUND; CAPS GEL LP 0.40 MG x 30; GOB

77112; TAR BRIMONIDINA MG ; TAR BRIMONIDINA; NOT FOUND; SOLN OFTAL 1.50 MG 5 ML x 1; GOB

71105; TYLALGIN CAF ; TYLALGIN CAF; NOT FOUND; CPR 500 MG x 20 (/65); GOB

63231; TRAXONOL ; TRAXONOL; NOT FOUND; CAPS 100 MG x 4; GOB

120325; TELOL C ; TELOL C; NOT FOUND; CPR 50 MG x 30 (/12); GOB

63232; TRAXONOL ; TRAXONOL; NOT FOUND; CAPS 100 MG x 15; GOB

68681; TRINODAZOL ; TRINODAZOL; NOT FOUND; GEL. VAG. 100 MG 50 G x 1 (/G); GOB

64981; TRINODAZOL ; TRINODAZOL; NOT FOUND; CPR 250 MG x 20; GOB

85423; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 30; GOB

73909; TININ ; TININ; NOT FOUND; CR.VAG.7 APL 35 G x 1; GOB

68549; TELOL ; TELOL; NOT FOUND; CPR 50 MG x 420; GOB

68075; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 20; GOB

64982; TYLALGIN ; TYLALGIN; NOT FOUND; CPR 750 MG x 200; GOB

75338; TRINODAZOL NISTATI ; TRINODAZOL NISTATI; NOT FOUND; CR.VAG.10APL 5 G 50 G x 1; GOB

57175; TETRACILIL ; TETRACILIL; NOT FOUND; CAPS 500 MG x 100; GP8

52165; TRICBAN ; TRICBAN; NOT FOUND; SUSP 200 MG 60 ML x 1 (/40M); GP8

52164; TRICBAN ; TRICBAN; NOT FOUND; CPR 400 MG x 20 (/80); GP8

55786; TETRACILIL ; TETRACILIL; NOT FOUND; POM. OFTAL 0.50 % 3.50 G x 1; GP8

