73785; FOS.SOD.PREDNIS.MG ; FOS SOD PREDNIS; NOT FOUND; SOLN ORAL 3 MG 120 ML x 1 (/ML); A4H
76751; FOS.DIS.DEXAMET.MG ; FOS DIS DEXAMET; NOT FOUND; AMP. 2 M 1 ML x 50 (/ML); FM_

64878; FUROSEFARMA ; FUROSEFARMA; NOT FOUND; AMP. 20 MG 2 ML x 50; FM_

73436; FOS.DIS.DEXAMET.MG ; FOS DIS DEXAMET; NOT FOUND; AMP. 4 MG 2.50 ML x 50 (/ML); FM_

73638; FOS.DIS.DEXAMET.MG ; FOS DIS DEXAMET; NOT FOUND; AMP. 2 MG 1 ML x 100 (/ML); FM_

72427; FRESOFLOX ; FRESOFLOX; NOT FOUND; SOLN INJ. 200 MG 100 ML x 80; FRS

72436; FRESUBIN ENE/FI/DR ; FRESUBIN ENE FI DR; NOT FOUND; LIQD CAPPUC 200 ML x 1; FRS

71269; FRESOFOL ; FRESOFOL; NOT FOUND; F.AMP 1 % 50 ML x 1; FRS

77095; FRESUBIN HP ENERGY ; FRESUBIN HP ENERGY; NOT FOUND; LIQD S/F 1000 ML x 1; FRS

44232; FRESENITOL ; FRESENITOL; NOT FOUND; SOLN INJ. 20 % 250 ML x 1; FRS

55196; FRESUBIN HEPA ; FRESUBIN HEPA; NOT FOUND; LIQD 500 ML x 1; FRS

77208; FRESUBIN PR/ENE/DR ; FRESUBIN PR ENE DR; NOT FOUND; LIQD AVELA 200 ML x 1; FRS

78153; FRESUBIN ENE FIBRE ; FRESUBIN ENE FIBRE; NOT FOUND; LIQD 500 ML x 1; FRS

71270; FRESOFOL ; FRESOFOL; NOT FOUND; AMP.INFUSION 1 % 20 ML x 5; FRS

78152; FRESUBIN ENE FIBRE ; FRESUBIN ENE FIBRE; NOT FOUND; LIQD 1000 ML x 1; FRS

72434; FRESUBIN ENE/FI/DR ; FRESUBIN ENE FI DR; NOT FOUND; LIQD CHOCOLA 200 ML x 1; FRS

72435; FRESUBIN ENE/FI/DR ; FRESUBIN ENE FI DR; NOT FOUND; LIQD MORANGO 200 ML x 1; FRS

71494; FRESOLCAN ; FRESOLCAN; NOT FOUND; F.IV INFUSAO 2 MG 100 ML x 1 (/ML); FRS

77210; FRESUBIN PR/ENE/DR ; FRESUBIN PR ENE DR; NOT FOUND; LIQD ABACA 200 ML x 1; FRS

72428; FRESOFLOX ; FRESOFLOX; NOT FOUND; SOL INJ BOLS 200 MG 100 ML x 50; FRS

71267; FRESOFOL ; FRESOFOL; NOT FOUND; F.AMP 2 % 50 ML x 1; FRS

77097; FRESUBIN LIPID DRI ; FRESUBIN LIPID DRI; NOT FOUND; LIQ FRU TROP 200 ML x 1; FRS

71268; FRESOFOL ; FRESOFOL; NOT FOUND; F.AMP 1 % 100 ML x 1; FRS

52032; FRESENIZOL ; FRESENIZOL; NOT FOUND; F.INFUSAO 500 MG 100 ML x 1; FRS

77209; FRESUBIN PR/ENE/DR ; FRESUBIN PR ENE DR; NOT FOUND; LIQD F VERM 200 ML x 1; FRS

142898; FRESUBIN ENERGY ; FRESUBIN ENERGY; NOT FOUND; K LIQ+EQ A E 1500 ML x 1; FRS

72119; FRESUBIN PR/ENE/DR ; FRESUBIN PR ENE DR; NOT FOUND; LIQD CHOCOLA 200 ML x 1; FRS

77098; FRESUBIN LIPID DRI ; FRESUBIN LIPID DRI; NOT FOUND; LIQ CAPPUCCI 200 ML x 1; FRS

55187; FRESUBIN ORIGINAL ; FRESUBIN ORIGINAL; NOT FOUND; LIQD 500 ML x 1; FRS

