121301, PEDIAVIT , PEDIAVIT, NOT FOUND, LIQ MINIMUM 50 ML x 1, A07
102164, PIPERACI+TAZOBA.MG , PIPERACI TAZOBA, NOT FOUND, F A PO LIOF 4 G 50 ML x 10 (/50, AA0

61546, PRIMACEF , PRIMACEF, NOT FOUND, CPR REVEST 500 MG x 500, AAI

80187, PLAQUEMAX , PLAQUEMAX, NOT FOUND, F.AMP. 5 MG 1 ML x 1, AAI

54129, PRIMACEF , PRIMACEF, NOT FOUND, CPR REVEST 500 MG x 10, AAI

124884, PIPERACI+TAZOBA.MG , PIPERACI TAZOBA, NOT FOUND, F.AMP LIOF 4 G x 10 (/500), AB3

77675, PROTO-ITECAN , PROTO ITECAN, NOT FOUND, F.AMP 100 MG 5 ML x 1, AB3

124882, PIPERACI+TAZOBA.MG , PIPERACI TAZOBA, NOT FOUND, F.AMP LIOF 2 G x 10 (/250), AB3

142035, PROSURE , PROSURE, NOT FOUND, LIQ RPB LAR 220 ML x 1, ABT

99983, PEDIALYTE ZINCO 60 , PEDIALYTE ZINCO 60, NOT FOUND, SOL UVA 500 ML x 1, ABT

72820, PROSURE , PROSURE, NOT FOUND, PO BAUNILHA 380 G x 1, ABT

54297, PROFORT , PROFORT, NOT FOUND, LIQD BAUNIL. 1000 ML x 1, ABT

92419, PEDIASURE , PEDIASURE, NOT FOUND, PO COMP MORA 400 G x 1, ABT

50906, PANZYTRAT , PANZYTRAT, NOT FOUND, CAPS GASTROR x 12, ABT

99979, PEDIALYTE ZINCO 45 , PEDIALYTE ZINCO 45, NOT FOUND, SOL GUARANA 500 ML x 1, ABT

67314, PROSURE , PROSURE, NOT FOUND, TETRA P BAN 240 ML x 1, ABT

67316, PROSURE , PROSURE, NOT FOUND, TETRA P LAR 240 ML x 1, ABT

57904, PIASCLEDINE , PIASCLEDINE, NOT FOUND, CAPS 300 MG x 15, ABT

77490, PEDIASURE , PEDIASURE, NOT FOUND, PO COMP BAUN 900 G x 1, ABT

51511, PEDIASURE , PEDIASURE, NOT FOUND, LIQ COMP MOR 237 ML x 1, ABT

51318, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN COCO 500 ML x 1, ABT

77491, PEDIASURE , PEDIASURE, NOT FOUND, PO COMP CHOC 900 G x 1, ABT

76363, PIASCLEDINE , PIASCLEDINE, NOT FOUND, CAPS 300 MG x 30, ABT

51317, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN CEREJA 500 ML x 1, ABT

54490, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN.T.FRUTI 500 ML x 1, ABT

67315, PROSURE , PROSURE, NOT FOUND, TETRA P BAU 240 ML x 1, ABT

150768, PROSURE , PROSURE, NOT FOUND, LIQ RPB BAUN 220 ML x 1, ABT

53407, PULMOCARE , PULMOCARE, NOT FOUND, LIQD BAUNIL. 1000 ML x 1, ABT

51316, PEDIALYTE 90 , PEDIALYTE 90, NOT FOUND, SOLN ORAL 500 ML x 1, ABT

52929, PEDIASURE , PEDIASURE, NOT FOUND, PO COMP CHOC 400 G x 1, ABT

49357, PICRATO BUTESIN , PICRATO BUTESIN, NOT FOUND, POM. 1 % 15 G x 1, ABT

142034, PROSURE , PROSURE, NOT FOUND, LIQ RPB BAN 220 ML x 1, ABT

51320, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN MACA 500 ML x 1, ABT

51670, PREDNISONA , PREDNISONA, PREDNISONA, CPR 5 MG x 20, ABT

54489, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN PESSEGO 500 ML x 1, ABT

51856, POLIGINAX , POLIGINAX, NOT FOUND, CR.VAG.12APL 60 G x 1, ABT

51509, PEDIASURE , PEDIASURE, NOT FOUND, LIQ COMP BAU 237 ML x 1, ABT

99981, PEDIALYTE ZINCO 45 , PEDIALYTE ZINCO 45, NOT FOUND, SOL MORANGO 500 ML x 1, ABT

51512, PEDIASURE , PEDIASURE, NOT FOUND, PO COMP BAUN 400 G x 1, ABT

53397, PERATIVE , PERATIVE, NOT FOUND, LIQD 237 ML x 1, ABT

32529, POLIGINAX , POLIGINAX, NOT FOUND, CAPS VAGI x 12, ABT

53398, PERATIVE , PERATIVE, NOT FOUND, LIQD 1000 ML x 1, ABT

51852, PEDIALYTE 45 , PEDIALYTE 45, NOT FOUND, SOLN GUARANA 500 ML x 1, ABT

51315, PEDIALYTE , PEDIALYTE, NOT FOUND, SOLN ORAL 500 ML x 1, ABT

59294, PRECISION PLUS , PRECISION PLUS, NOT FOUND, TIRAS TESTE x 100, ABT

99982, PEDIALYTE ZINCO 60 , PEDIALYTE ZINCO 60, NOT FOUND, SOL MACA 500 ML x 1, ABT

99980, PEDIALYTE ZINCO 45 , PEDIALYTE ZINCO 45, NOT FOUND, SOL MACA 500 ML x 1, ABT

